c2_bits	c_2_measured	v_bits	v_measured
0.0	0.01	296.06435	121.5
5.40725	0.10	294.6998	121.3
5.5429	0.10	295.60705	121.3
5.4499	0.10	296.0429	121.6
34.557	.33	294.80695	121.3
44.0429	.41	294.65695	121.2
75.57125	0.66	293.69975	120.9
84.34305	0.73	293.1573	120.7
97.7569	0.84	292.79985	120.6
106.84985	0.91	294.03575	121.1
140.293	1.18	292.5785	120.6
148.5144	1.25	291.71405	120.3
180.64985	1.51	291.09295	120.0
189.19305	1.57	290.96425	119.8
201.6213	1.68	289.8856	119.6
210.507	1.75	291.03575	119.7
243.45005	2.02	289.4071	119.2
252.62125	2.08	289.77125	119.3
284.03575	2.34	288.9142	119.1
288.1859	2.38	282.4357	116.7
295.64265	2.44	276.4429	114.1
310.3716	2.56	288.41435	118.9
343.63565	2.83	286.3929	117.7
350.9571	2.88	285.59275	117.8
382.9643	3.14	285.7285	117.7
390.17875	3.20	285.15725	117.6
401.41425	3.29	285.1573	117.3
409.2644	3.35	285.0	117.4
442.58575	3.62	284.5429	117.2
450.12145	3.68	284.2216	117.2
482.1857	3.94	283.89275	117.0
481.87135	3.95	284.15005	117.2
490.8999	4.01	284.55715	117.0
499.4428	4.09	283.72835	117.0
507.5715	4.15	283.74975	117.0
541.3072	4.42	282.55	116.2
548.1787	4.48	282.25725	116.1
580.29295	4.73	281.73565	116.0
588.10005	4.80	282.3787	116.1
591.48585	4.83	277.34305	114.5
600.3	4.91	278.34985	115.0
632.9429	5.17	277.40715	114.3
642.71415	5.24	278.4002	114.7
641.97865	5.23	277.8928	114.6
672.02145	5.49	276.8356	114.5
678.37145	5.53	275.72845	113.7
689.14295	5.62	276.61435	114.1
696.0643	5.68	276.2359	113.9
728.9643	5.94	275.3858	113.5
735.43575	6.00	274.71425	113.2
766.48565	6.25	274.30745	113.3
773.72145	6.31	274.3074	113.2
787.3928	6.41	273.07865	112.6
795.79275	6.47	273.71415	112.8
823.1	6.71	270.1001	111.5
834.5786	6.80	272.99285	112.7
865.9071	7.04	272.74265	112.4
871.91425	7.10	271.62835	112.2
883.40005	7.19	271.79995	112.0
887.95	7.24	270.27875	111.7
923.36445	7.51	270.55005	111.6
927.18575	7.55	269.7999	111.5
958.2857	7.81	269.7498	111.2
959.2499	7.83	267.1573	110.4
972.27855	7.94	268.6429	110.9
974.52855	7.95	269.44285	111.2
972.9785	7.95	269.3216	111.2
978.1714	7.98	268.30015	110.5
1003.16425	8.21	265.74285	109.6
1009.44295	8.28	265.8427	109.9
1022.76405	8.44	260.7713	107.6
1000.5142	8.17	260.82845	107.7
996.35715	8.16	261.99285	108.3
969.8429	7.92	264.393	109.1
963.50005	7.86	264.21445	108.8
948.72855	7.76	263.88565	109.1
944.1143	7.68	263.6141	108.8
911.37155	7.43	263.6284	109.1
907.87145	7.39	264.92855	109.0
873.52855	7.12	264.757	109.4
868.85005	7.07	265.23585	109.4
857.0714	6.97	266.24305	109.7
847.37135	6.91	264.8213	109.4
819.03575	6.67	266.4143	109.9
810.23575	6.60	265.9071	109.9
811.77155	6.62	266.5855	110.0
780.92135	6.35	268.2574	110.3
772.0572	6.30	267.62825	110.3
776.41445	6.32	276.2002	113.8
767.9642	6.27	275.9142	113.8
737.05005	6.02	277.1287	114.4
728.60715	5.95	275.87845	113.6
695.94995	5.68	277.4502	114.2
688.2001	5.63	277.1572	114.5
677.86425	5.53	276.88565	113.9
669.2002	5.48	276.7212	114.2
639.40005	5.22	277.3929	114.4
629.7284	5.16	276.3429	114.2
598.05725	4.89	277.6356	114.5
589.51425	4.83	277.38565	114.5
497.1573	4.07	280.2073	115.5
583.4001	4.77	278.2145	114.5
577.3359	4.73	280.2359	115.4
544.1644	4.46	280.22875	115.6
537.77855	4.40	281.25735	115.9
504.86415	4.14	281.35725	116.1
497.9428	4.08	281.85705	116.2
498.50705	4.08	282.2644	116.1
473.93565	3.88	271.8999	111.8
466.0286	3.82	271.2717	111.7
442.40725	3.63	282.19305	116.1
433.4644	3.56	280.90705	115.9
403.2788	3.30	283.03575	116.5
394.87865	3.24	282.96435	116.6
384.10725	3.16	286.1573	117.9
377.79985	3.10	287.1787	118.1
343.0429	2.83	287.3501	118.5
335.90705	2.76	288.42145	118.4
303.0858	2.50	287.72845	118.6
295.94995	2.44	288.84985	118.8
284.2431	2.35	286.50705	118.1
275.63545	2.28	286.3215	118.1
274.63555	2.27	284.8643	117.4
241.37865	2.00	285.8143	117.6
233.30735	1.94	285.97855	117.9
201.6357	1.68	287.55	118.5
194.46435	1.62	289.38585	119.0
184.0429	1.54	288.3572	118.8
185.23595	1.54	292.30025	120.0
184.59275	1.54	290.92135	119.9
176.77125	1.48	292.17875	120.2
144.5998	1.22	292.6212	120.6
136.47155	1.15	293.84995	120.8
102.4786	0.88	293.5285	120.6
93.5214	0.80	292.8213	120.6
84.19305	0.73	293.84995	121.1
75.493	.66	294.5785	121.1
44.1001	0.41	296.0286	121.5
34.30735	.33	294.24295	121.1
5.44295	0.10	296.2716	122.0
0.0	0.01	296.6856	122.0
