v_bits	c_bits	v_measured	c_measured
270.0	141.77124999999998	10.22	3.37
398.0	208.0	15	4.91
532.0	278.02145	20.01	6.53
661.0	345.15725000000003	24.80	8.08
659.90705	344.9714	24.76	8.06
580.03575	303.9285	21.75	7.11
540.0	282.9857	20.24	6.63
582.29305	304.9428	21.83	7.14
629.0	329.0	23.59	7.7
655.0	342.79979999999995	24.54	8.01
266.0	97.4572	9.98	2.34
400.0	145.84269999999998	14.96	3.47
535.54995	194.9857	19.97	4.6
675.0	245.8856	25.11	5.77
816.0	297.00715	30.35	6.97
730.0	265.99285	27.15	6.23
650.0	236.80704999999998	24.19	5.56
604.06435	220.0	22.5	5.17
539.6569999999999	196.43590000000003	20.04	4.63
484.0	176.20020000000005	18	4.17
359.0	131.0143	13.38	3.11
435.0	158.74974999999998	16.18	3.75
566.96425	206.26450000000006	21.03	4.86
685.0	249.2216	25.40	5.85
745.0	271.0572	27.62	6.36
779.0	283.56415	28.88	6.64
560.0	203.9857	20.79	4.8
278.0286	84.38590000000002	10.36	2.04
387.5001	117.0	14.38	2.79
488.0	147.07150000000001	18.09	3.49
557.9714	168.0	20.64	3.98
666.0	200.87845	24.62	4.73
790.1716	238.32160000000005	29.21	5.6
736.0	221.90704999999997	27.20	5.21
620.0858000000001	186.99285	22.95	4.41
568.6497999999999	171.0858	21.05	4.05
482.97855	145.4429	17.89	3.45
414.0	124.9857	15.36	2.97
366.1001	110.82124999999999	13.61	2.64
590.0	177.7927	21.84	4.2
687.06435	207.0	25.41	4.87
598.0	180.0	22.14	4.25
549.92135	165.3788	20.35	3.91
703.0	211.37875000000003	25.98	4.98
732.0143	220.2216	27.07	5.18
651.99285	196.0	24.1	4.62
679.60695	204.44305000000003	25.13	4.81
268.0	41.0	9.93	1.02
401.5286	60.778349999999975	14.83	1.48
546.0	82.0143	20.12	1.98
665.10725	100.0	24.485	2.4
818.1716	123.10010000000003	30.10	2.93
733.03575	110.0	26.97	2.63
622.79265	93.68554999999996	22.91	2.24
567.6641	85.27165000000002	20.9	2.05
630.03575	94.89275	23.21	2.27
683.0	102.72834999999998	25.14	2.45
732.0	109.99285	26.91	2.62
764.8140999999999	114.94279999999999	28.11	2.74
642.0858000000001	96.33585	23.64	2.31
685.64265	102.97855	25.21	2.46
553.96425	83.0143	20.39	2
466.0	70.02860000000001	17.19	1.7
417.0	62.97855	15.4	1.53
319.0	48.08580000000001	11.8	1.19
440.61415	66.15725	16.26	1.61
601.1144	90.25735000000003	22.17	2.17
742.0	111.32875000000001	27.31	2.66
805.00715	121.0	29.63	2.88
