v_bits	v_measured_supply	v_measured_load
288.0	10.75	10.55
345.5215	12.89	12.65
394.0	14.68	14.42
469.68550000000005	17.48	17.16
566.03575	21.05	20.67
644.0	23.93	23.49
648.0572	24	23.66
798.2216500000001	29.52	29.11
562.0	20.81	20.53
455.0	16.88	16.65
387.59975	14.39	14.19
500.9857	18.56	18.3
504.0	18.623	18.43
709.5928	26.15	25.89
813.2001	29.97	29.68
626.0	23.08	22.86
721.0	26.57	26.31
660.0	24.33	24.1
554.8284	20.47	20.27
558.05005	20.53	20.41
665.0	24.42	24.29
768.0	28.19	28.03
776.0	28.49	28.33
450.0	16.58	16.49
